Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 8.05e-01
    1000 | 6.86e-01 | 5.10e-01
    2000 | 6.85e-01 | 4.16e-01
    3000 | 6.84e-01 | 3.60e-01
    4000 | 6.83e-01 | 3.23e-01
    5000 | 6.83e-01 | 2.95e-01
    6000 | 6.83e-01 | 2.65e-01
    7000 | 6.83e-01 | 2.50e-01
    8000 | 6.82e-01 | 2.35e-01
    9000 | 6.82e-01 | 2.20e-01
   10000 | 6.82e-01 | 2.06e-01
   11000 | 6.82e-01 | 1.93e-01
   12000 | 6.82e-01 | 1.76e-01
   13000 | 6.82e-01 | 1.67e-01
   14000 | 6.82e-01 | 1.58e-01
   15000 | 6.82e-01 | 1.46e-01
   16000 | 6.82e-01 | 1.38e-01
   17000 | 6.82e-01 | 1.30e-01
   18000 | 6.82e-01 | 1.20e-01
   19000 | 6.82e-01 | 1.15e-01
   20000 | 6.82e-01 | 1.07e-01
   21000 | 6.82e-01 | 9.79e-02
   22000 | 6.82e-01 | 9.14e-02
   23000 | 6.82e-01 | 8.79e-02
   24000 | 6.82e-01 | 8.57e-02
   25000 | 6.82e-01 | 8.35e-02
   26000 | 6.82e-01 | 8.17e-02
   27000 | 6.82e-01 | 7.84e-02
   28000 | 6.82e-01 | 7.82e-02
   29000 | 6.82e-01 | 7.66e-02
   30000 | 6.82e-01 | 7.17e-02
   31000 | 6.82e-01 | 6.66e-02
   32000 | 6.82e-01 | 6.49e-02
   33000 | 6.82e-01 | 6.27e-02
   34000 | 6.82e-01 | 6.20e-02
   35000 | 6.82e-01 | 6.12e-02
   36000 | 6.82e-01 | 5.97e-02
   37000 | 6.82e-01 | 5.54e-02
   38000 | 6.82e-01 | 5.34e-02
   39000 | 6.82e-01 | 5.65e-02
   40000 | 6.82e-01 | 5.37e-02
   41000 | 6.82e-01 | 5.00e-02
   42000 | 6.82e-01 | 4.88e-02
   43000 | 6.82e-01 | 4.50e-02
   44000 | 6.82e-01 | 4.27e-02
   45000 | 6.82e-01 | 4.18e-02
   46000 | 6.82e-01 | 3.93e-02
   47000 | 6.82e-01 | 4.00e-02
   48000 | 6.82e-01 | 3.86e-02
   49000 | 6.82e-01 | 3.49e-02
   50000 | 6.82e-01 | 3.24e-02
   51000 | 6.82e-01 | 3.32e-02
   52000 | 6.82e-01 | 3.08e-02
   53000 | 6.82e-01 | 2.90e-02
   54000 | 6.82e-01 | 2.72e-02
   55000 | 6.82e-01 | 2.64e-02
   56000 | 6.82e-01 | 2.70e-02
   57000 | 6.82e-01 | 2.44e-02
   58000 | 6.82e-01 | 2.59e-02
   59000 | 6.82e-01 | 2.85e-02
   60000 | 6.82e-01 | 3.05e-02
   61000 | 6.82e-01 | 2.93e-02
   62000 | 6.82e-01 | 2.72e-02
   63000 | 6.82e-01 | 2.78e-02
   64000 | 6.82e-01 | 2.53e-02
   65000 | 6.82e-01 | 2.48e-02
   66000 | 6.82e-01 | 2.33e-02
   67000 | 6.82e-01 | 2.23e-02
   68000 | 6.82e-01 | 2.12e-02
   69000 | 6.82e-01 | 2.01e-02
   70000 | 6.82e-01 | 1.94e-02
   71000 | 6.82e-01 | 1.80e-02
   72000 | 6.82e-01 | 1.82e-02
   73000 | 6.82e-01 | 1.89e-02
   74000 | 6.82e-01 | 1.69e-02
   75000 | 6.82e-01 | 1.68e-02
   76000 | 6.82e-01 | 1.69e-02
   77000 | 6.82e-01 | 1.75e-02
   78000 | 6.82e-01 | 1.84e-02
   79000 | 6.82e-01 | 1.79e-02
   80000 | 6.82e-01 | 1.81e-02
   81000 | 6.82e-01 | 1.79e-02
   82000 | 6.82e-01 | 1.69e-02
   83000 | 6.82e-01 | 1.82e-02
   84000 | 6.82e-01 | 1.73e-02
   85000 | 6.82e-01 | 1.94e-02
   86000 | 6.82e-01 | 2.01e-02
   87000 | 6.82e-01 | 1.93e-02
   88000 | 6.82e-01 | 1.92e-02
   89000 | 6.82e-01 | 1.99e-02
   90000 | 6.82e-01 | 1.99e-02
   91000 | 6.82e-01 | 2.20e-02
   92000 | 6.82e-01 | 2.02e-02
   93000 | 6.82e-01 | 1.85e-02
   94000 | 6.82e-01 | 1.77e-02
   95000 | 6.82e-01 | 1.90e-02
   96000 | 6.82e-01 | 1.71e-02
   97000 | 6.82e-01 | 1.87e-02
   98000 | 6.82e-01 | 1.88e-02
   99000 | 6.82e-01 | 1.71e-02
  100000 | 6.82e-01 | 1.57e-02
Stochastic Gradient, batch size= 10 / 1000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 8.05e-01
     100 | 6.90e-01 | 7.04e-01
     200 | 6.89e-01 | 6.65e-01
     300 | 6.89e-01 | 6.33e-01
     400 | 6.88e-01 | 6.10e-01
     500 | 6.88e-01 | 5.91e-01
     600 | 6.87e-01 | 5.75e-01
     700 | 6.87e-01 | 5.59e-01
     800 | 6.87e-01 | 5.46e-01
     900 | 6.86e-01 | 5.32e-01
    1000 | 6.86e-01 | 5.21e-01
    1100 | 6.86e-01 | 5.10e-01
    1200 | 6.86e-01 | 5.00e-01
    1300 | 6.86e-01 | 4.88e-01
    1400 | 6.86e-01 | 4.78e-01
    1500 | 6.85e-01 | 4.70e-01
    1600 | 6.85e-01 | 4.61e-01
    1700 | 6.85e-01 | 4.53e-01
    1800 | 6.85e-01 | 4.46e-01
    1900 | 6.85e-01 | 4.38e-01
    2000 | 6.85e-01 | 4.30e-01
    2100 | 6.85e-01 | 4.23e-01
    2200 | 6.85e-01 | 4.17e-01
    2300 | 6.84e-01 | 4.12e-01
    2400 | 6.84e-01 | 4.07e-01
    2500 | 6.84e-01 | 4.02e-01
    2600 | 6.84e-01 | 3.97e-01
    2700 | 6.84e-01 | 3.92e-01
    2800 | 6.84e-01 | 3.87e-01
    2900 | 6.84e-01 | 3.81e-01
    3000 | 6.84e-01 | 3.76e-01
    3100 | 6.84e-01 | 3.71e-01
    3200 | 6.84e-01 | 3.66e-01
    3300 | 6.84e-01 | 3.62e-01
    3400 | 6.84e-01 | 3.58e-01
    3500 | 6.84e-01 | 3.54e-01
    3600 | 6.84e-01 | 3.49e-01
    3700 | 6.84e-01 | 3.44e-01
    3800 | 6.84e-01 | 3.40e-01
    3900 | 6.83e-01 | 3.36e-01
    4000 | 6.83e-01 | 3.32e-01
    4100 | 6.83e-01 | 3.29e-01
    4200 | 6.83e-01 | 3.25e-01
    4300 | 6.83e-01 | 3.22e-01
    4400 | 6.83e-01 | 3.19e-01
    4500 | 6.83e-01 | 3.15e-01
    4600 | 6.83e-01 | 3.12e-01
    4700 | 6.83e-01 | 3.09e-01
    4800 | 6.83e-01 | 3.05e-01
    4900 | 6.83e-01 | 3.02e-01
    5000 | 6.83e-01 | 2.99e-01
    5100 | 6.83e-01 | 2.96e-01
    5200 | 6.83e-01 | 2.93e-01
    5300 | 6.83e-01 | 2.90e-01
    5400 | 6.83e-01 | 2.87e-01
    5500 | 6.83e-01 | 2.85e-01
    5600 | 6.83e-01 | 2.82e-01
    5700 | 6.83e-01 | 2.80e-01
    5800 | 6.83e-01 | 2.77e-01
    5900 | 6.83e-01 | 2.75e-01
    6000 | 6.83e-01 | 2.72e-01
    6100 | 6.83e-01 | 2.70e-01
    6200 | 6.83e-01 | 2.68e-01
    6300 | 6.83e-01 | 2.65e-01
    6400 | 6.83e-01 | 2.62e-01
    6500 | 6.83e-01 | 2.61e-01
    6600 | 6.83e-01 | 2.58e-01
    6700 | 6.83e-01 | 2.56e-01
    6800 | 6.83e-01 | 2.55e-01
    6900 | 6.83e-01 | 2.52e-01
    7000 | 6.83e-01 | 2.49e-01
    7100 | 6.83e-01 | 2.47e-01
    7200 | 6.83e-01 | 2.45e-01
    7300 | 6.83e-01 | 2.43e-01
    7400 | 6.83e-01 | 2.41e-01
    7500 | 6.83e-01 | 2.39e-01
    7600 | 6.82e-01 | 2.37e-01
    7700 | 6.82e-01 | 2.36e-01
    7800 | 6.82e-01 | 2.34e-01
    7900 | 6.82e-01 | 2.32e-01
    8000 | 6.82e-01 | 2.31e-01
    8100 | 6.82e-01 | 2.30e-01
    8200 | 6.82e-01 | 2.28e-01
    8300 | 6.82e-01 | 2.25e-01
    8400 | 6.82e-01 | 2.24e-01
    8500 | 6.82e-01 | 2.22e-01
    8600 | 6.82e-01 | 2.20e-01
    8700 | 6.82e-01 | 2.19e-01
    8800 | 6.82e-01 | 2.18e-01
    8900 | 6.82e-01 | 2.16e-01
    9000 | 6.82e-01 | 2.15e-01
    9100 | 6.82e-01 | 2.13e-01
    9200 | 6.82e-01 | 2.11e-01
    9300 | 6.82e-01 | 2.10e-01
    9400 | 6.82e-01 | 2.08e-01
    9500 | 6.82e-01 | 2.06e-01
    9600 | 6.82e-01 | 2.04e-01
    9700 | 6.82e-01 | 2.02e-01
    9800 | 6.82e-01 | 2.00e-01
    9900 | 6.82e-01 | 1.99e-01
   10000 | 6.82e-01 | 1.97e-01
Stochastic Gradient, batch size= 100 / 1000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 8.05e-01
      10 | 6.92e-01 | 7.78e-01
      20 | 6.92e-01 | 7.64e-01
      30 | 6.92e-01 | 7.53e-01
      40 | 6.91e-01 | 7.43e-01
      50 | 6.91e-01 | 7.36e-01
      60 | 6.91e-01 | 7.29e-01
      70 | 6.91e-01 | 7.22e-01
      80 | 6.91e-01 | 7.16e-01
      90 | 6.91e-01 | 7.11e-01
     100 | 6.90e-01 | 7.06e-01
     110 | 6.90e-01 | 7.01e-01
     120 | 6.90e-01 | 6.97e-01
     130 | 6.90e-01 | 6.92e-01
     140 | 6.90e-01 | 6.88e-01
     150 | 6.90e-01 | 6.84e-01
     160 | 6.90e-01 | 6.81e-01
     170 | 6.90e-01 | 6.77e-01
     180 | 6.90e-01 | 6.73e-01
     190 | 6.90e-01 | 6.70e-01
     200 | 6.89e-01 | 6.67e-01
     210 | 6.89e-01 | 6.64e-01
     220 | 6.89e-01 | 6.61e-01
     230 | 6.89e-01 | 6.58e-01
     240 | 6.89e-01 | 6.55e-01
     250 | 6.89e-01 | 6.52e-01
     260 | 6.89e-01 | 6.49e-01
     270 | 6.89e-01 | 6.46e-01
     280 | 6.89e-01 | 6.43e-01
     290 | 6.89e-01 | 6.40e-01
     300 | 6.89e-01 | 6.38e-01
     310 | 6.89e-01 | 6.35e-01
     320 | 6.89e-01 | 6.33e-01
     330 | 6.89e-01 | 6.30e-01
     340 | 6.89e-01 | 6.28e-01
     350 | 6.88e-01 | 6.26e-01
     360 | 6.88e-01 | 6.23e-01
     370 | 6.88e-01 | 6.21e-01
     380 | 6.88e-01 | 6.19e-01
     390 | 6.88e-01 | 6.16e-01
     400 | 6.88e-01 | 6.14e-01
     410 | 6.88e-01 | 6.12e-01
     420 | 6.88e-01 | 6.10e-01
     430 | 6.88e-01 | 6.08e-01
     440 | 6.88e-01 | 6.05e-01
     450 | 6.88e-01 | 6.03e-01
     460 | 6.88e-01 | 6.02e-01
     470 | 6.88e-01 | 6.00e-01
     480 | 6.88e-01 | 5.98e-01
     490 | 6.88e-01 | 5.96e-01
     500 | 6.88e-01 | 5.94e-01
     510 | 6.88e-01 | 5.92e-01
     520 | 6.88e-01 | 5.90e-01
     530 | 6.88e-01 | 5.88e-01
     540 | 6.88e-01 | 5.86e-01
     550 | 6.88e-01 | 5.85e-01
     560 | 6.88e-01 | 5.83e-01
     570 | 6.88e-01 | 5.81e-01
     580 | 6.87e-01 | 5.79e-01
     590 | 6.87e-01 | 5.77e-01
     600 | 6.87e-01 | 5.76e-01
     610 | 6.87e-01 | 5.74e-01
     620 | 6.87e-01 | 5.73e-01
     630 | 6.87e-01 | 5.71e-01
     640 | 6.87e-01 | 5.70e-01
     650 | 6.87e-01 | 5.68e-01
     660 | 6.87e-01 | 5.66e-01
     670 | 6.87e-01 | 5.65e-01
     680 | 6.87e-01 | 5.63e-01
     690 | 6.87e-01 | 5.61e-01
     700 | 6.87e-01 | 5.60e-01
     710 | 6.87e-01 | 5.59e-01
     720 | 6.87e-01 | 5.57e-01
