Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 8.05e-01
    1000 | 6.87e-01 | 5.44e-01
    2000 | 6.85e-01 | 4.58e-01
    3000 | 6.84e-01 | 3.93e-01
    4000 | 6.84e-01 | 3.57e-01
    5000 | 6.83e-01 | 3.23e-01
    6000 | 6.83e-01 | 2.92e-01
    7000 | 6.83e-01 | 2.67e-01
    8000 | 6.83e-01 | 2.44e-01
    9000 | 6.82e-01 | 2.17e-01
   10000 | 6.82e-01 | 2.03e-01
   11000 | 6.82e-01 | 1.97e-01
   12000 | 6.82e-01 | 1.79e-01
   13000 | 6.82e-01 | 1.67e-01
   14000 | 6.82e-01 | 1.54e-01
   15000 | 6.82e-01 | 1.40e-01
   16000 | 6.82e-01 | 1.31e-01
   17000 | 6.82e-01 | 1.23e-01
   18000 | 6.82e-01 | 1.17e-01
   19000 | 6.82e-01 | 1.12e-01
   20000 | 6.82e-01 | 1.06e-01
   21000 | 6.82e-01 | 1.03e-01
   22000 | 6.82e-01 | 9.76e-02
   23000 | 6.82e-01 | 9.33e-02
   24000 | 6.82e-01 | 8.60e-02
   25000 | 6.82e-01 | 8.18e-02
   26000 | 6.82e-01 | 7.56e-02
   27000 | 6.82e-01 | 7.35e-02
   28000 | 6.82e-01 | 6.95e-02
   29000 | 6.82e-01 | 6.51e-02
   30000 | 6.82e-01 | 6.21e-02
   31000 | 6.82e-01 | 6.06e-02
   32000 | 6.82e-01 | 5.78e-02
   33000 | 6.82e-01 | 5.33e-02
   34000 | 6.82e-01 | 5.09e-02
   35000 | 6.82e-01 | 4.95e-02
   36000 | 6.82e-01 | 4.81e-02
   37000 | 6.82e-01 | 4.71e-02
   38000 | 6.82e-01 | 4.46e-02
   39000 | 6.82e-01 | 4.28e-02
   40000 | 6.82e-01 | 4.30e-02
   41000 | 6.82e-01 | 4.18e-02
   42000 | 6.82e-01 | 3.96e-02
   43000 | 6.82e-01 | 3.86e-02
   44000 | 6.82e-01 | 3.73e-02
   45000 | 6.82e-01 | 3.49e-02
   46000 | 6.82e-01 | 3.30e-02
   47000 | 6.82e-01 | 3.07e-02
   48000 | 6.82e-01 | 2.93e-02
   49000 | 6.82e-01 | 2.77e-02
   50000 | 6.82e-01 | 2.74e-02
   51000 | 6.82e-01 | 2.71e-02
   52000 | 6.82e-01 | 2.69e-02
   53000 | 6.82e-01 | 2.73e-02
   54000 | 6.82e-01 | 2.79e-02
   55000 | 6.82e-01 | 2.56e-02
   56000 | 6.82e-01 | 2.39e-02
   57000 | 6.82e-01 | 2.58e-02
   58000 | 6.82e-01 | 2.59e-02
   59000 | 6.82e-01 | 2.37e-02
   60000 | 6.82e-01 | 2.32e-02
   61000 | 6.82e-01 | 2.07e-02
   62000 | 6.82e-01 | 2.00e-02
   63000 | 6.82e-01 | 2.06e-02
   64000 | 6.82e-01 | 2.18e-02
   65000 | 6.82e-01 | 2.06e-02
   66000 | 6.82e-01 | 2.31e-02
   67000 | 6.82e-01 | 2.29e-02
   68000 | 6.82e-01 | 2.18e-02
   69000 | 6.82e-01 | 2.25e-02
   70000 | 6.82e-01 | 2.08e-02
   71000 | 6.82e-01 | 1.91e-02
   72000 | 6.82e-01 | 2.04e-02
   73000 | 6.82e-01 | 1.86e-02
   74000 | 6.82e-01 | 1.66e-02
   75000 | 6.82e-01 | 1.41e-02
   76000 | 6.82e-01 | 1.33e-02
   77000 | 6.82e-01 | 1.29e-02
   78000 | 6.82e-01 | 1.32e-02
   79000 | 6.82e-01 | 1.36e-02
   80000 | 6.82e-01 | 1.47e-02
   81000 | 6.82e-01 | 1.64e-02
   82000 | 6.82e-01 | 1.70e-02
   83000 | 6.82e-01 | 1.84e-02
