Stochastic Gradient, batch size= 1 / 10000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 7.92e-01
   10000 | 7.29e-01 | 1.63e+00
   20000 | 7.20e-01 | 1.48e+00
   30000 | 7.13e-01 | 1.35e+00
   40000 | 6.98e-01 | 9.63e-01
   50000 | 6.88e-01 | 5.95e-01
   60000 | 6.91e-01 | 6.43e-01
   70000 | 6.90e-01 | 6.61e-01
   80000 | 7.37e-01 | 1.79e+00
   90000 | 7.20e-01 | 1.49e+00
  100000 | 7.00e-01 | 1.01e+00
  110000 | 7.38e-01 | 1.80e+00
  120000 | 6.91e-01 | 7.06e-01
  130000 | 7.49e-01 | 1.94e+00
  140000 | 7.04e-01 | 1.13e+00
  150000 | 8.02e-01 | 2.66e+00
  160000 | 6.85e-01 | 3.63e-01
  170000 | 7.03e-01 | 1.09e+00
  180000 | 7.02e-01 | 1.06e+00
  190000 | 7.12e-01 | 1.31e+00
  200000 | 6.94e-01 | 7.53e-01
  210000 | 7.19e-01 | 1.46e+00
  220000 | 7.07e-01 | 1.20e+00
  230000 | 7.03e-01 | 1.11e+00
  240000 | 7.05e-01 | 1.12e+00
  250000 | 4.34e+00 | 1.50e+01
  260000 | 6.94e-01 | 8.04e-01
  270000 | 6.89e-01 | 6.00e-01
  280000 | 7.16e-01 | 1.40e+00
  290000 | 7.01e-01 | 1.02e+00
  300000 | 7.82e-01 | 2.44e+00
  310000 | 6.85e-01 | 3.89e-01
  320000 | 7.33e-01 | 1.73e+00
  330000 | 7.90e-01 | 2.47e+00
  340000 | 7.11e-01 | 1.30e+00
  350000 | 7.09e-01 | 1.24e+00
  360000 | 7.24e-01 | 1.57e+00
  370000 | 7.31e-01 | 1.69e+00
  380000 | 7.13e-01 | 1.33e+00
  390000 | 7.23e-01 | 1.55e+00
  400000 | 6.97e-01 | 9.26e-01
  410000 | 6.89e-01 | 6.18e-01
  420000 | 7.33e-01 | 1.73e+00
  430000 | 7.36e-01 | 1.76e+00
  440000 | 6.86e-01 | 4.57e-01
  450000 | 7.05e-01 | 1.14e+00
  460000 | 7.00e-01 | 9.71e-01
  470000 | 7.08e-01 | 1.20e+00
  480000 | 6.97e-01 | 9.23e-01
  490000 | 7.06e-01 | 1.17e+00
  500000 | 7.06e-01 | 1.18e+00
  510000 | 7.09e-01 | 1.26e+00
  520000 | 6.95e-01 | 8.39e-01
  530000 | 7.18e-01 | 1.43e+00
  540000 | 7.27e-01 | 1.64e+00
  550000 | 6.96e-01 | 8.22e-01
  560000 | 7.00e-01 | 9.82e-01
  570000 | 8.64e-01 | 3.26e+00
  580000 | 7.00e-01 | 1.03e+00
  590000 | 7.20e-01 | 1.48e+00
  600000 | 6.97e-01 | 9.17e-01
Stochastic Gradient, batch size= 1 / 10000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 7.92e-01
   10000 | 6.85e-01 | 3.65e-01
   20000 | 6.88e-01 | 5.45e-01
   30000 | 6.84e-01 | 2.92e-01
   40000 | 6.87e-01 | 5.12e-01
   50000 | 6.88e-01 | 5.41e-01
   60000 | 6.82e-01 | 1.36e-01
   70000 | 6.87e-01 | 5.18e-01
   80000 | 6.87e-01 | 5.10e-01
   90000 | 6.83e-01 | 2.15e-01
  100000 | 6.84e-01 | 2.48e-01
  110000 | 6.90e-01 | 6.87e-01
  120000 | 8.42e-01 | 3.05e+00
  130000 | 6.84e-01 | 3.42e-01
  140000 | 6.83e-01 | 1.69e-01
  150000 | 6.84e-01 | 3.08e-01
  160000 | 6.84e-01 | 3.20e-01
  170000 | 6.84e-01 | 2.85e-01
  180000 | 6.84e-01 | 3.08e-01
  190000 | 6.88e-01 | 5.81e-01
  200000 | 6.84e-01 | 3.17e-01
  210000 | 6.84e-01 | 3.12e-01
  220000 | 6.86e-01 | 4.79e-01
  230000 | 6.85e-01 | 3.39e-01
  240000 | 6.84e-01 | 3.57e-01
  250000 | 6.91e-01 | 6.65e-01
  260000 | 6.85e-01 | 3.57e-01
  270000 | 6.91e-01 | 6.61e-01
  280000 | 7.44e-01 | 1.85e+00
  290000 | 6.83e-01 | 1.61e-01
  300000 | 6.89e-01 | 6.23e-01
  310000 | 6.83e-01 | 1.89e-01
  320000 | 6.88e-01 | 5.81e-01
  330000 | 6.84e-01 | 3.04e-01
  340000 | 6.84e-01 | 3.32e-01
  350000 | 6.85e-01 | 3.99e-01
  360000 | 6.84e-01 | 3.18e-01
  370000 | 6.83e-01 | 2.31e-01
  380000 | 6.85e-01 | 3.95e-01
  390000 | 6.83e-01 | 2.46e-01
