Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 8.05e-01
    1000 | 6.91e-01 | 7.43e-01
    2000 | 6.91e-01 | 7.40e-01
    3000 | 6.91e-01 | 7.38e-01
    4000 | 6.91e-01 | 7.36e-01
    5000 | 6.91e-01 | 7.35e-01
    6000 | 6.91e-01 | 7.34e-01
    7000 | 6.91e-01 | 7.33e-01
    8000 | 6.91e-01 | 7.33e-01
    9000 | 6.91e-01 | 7.32e-01
   10000 | 6.91e-01 | 7.31e-01
   11000 | 6.91e-01 | 7.31e-01
   12000 | 6.91e-01 | 7.30e-01
   13000 | 6.91e-01 | 7.30e-01
   14000 | 6.91e-01 | 7.29e-01
   15000 | 6.91e-01 | 7.29e-01
   16000 | 6.91e-01 | 7.29e-01
   17000 | 6.91e-01 | 7.28e-01
   18000 | 6.91e-01 | 7.28e-01
   19000 | 6.91e-01 | 7.28e-01
   20000 | 6.91e-01 | 7.28e-01
   21000 | 6.91e-01 | 7.27e-01
   22000 | 6.91e-01 | 7.27e-01
   23000 | 6.91e-01 | 7.27e-01
   24000 | 6.91e-01 | 7.27e-01
   25000 | 6.91e-01 | 7.26e-01
   26000 | 6.91e-01 | 7.26e-01
   27000 | 6.91e-01 | 7.26e-01
   28000 | 6.91e-01 | 7.26e-01
   29000 | 6.91e-01 | 7.26e-01
   30000 | 6.91e-01 | 7.26e-01
   31000 | 6.91e-01 | 7.25e-01
   32000 | 6.91e-01 | 7.25e-01
   33000 | 6.91e-01 | 7.25e-01
   34000 | 6.91e-01 | 7.25e-01
   35000 | 6.91e-01 | 7.25e-01
   36000 | 6.91e-01 | 7.25e-01
   37000 | 6.91e-01 | 7.24e-01
   38000 | 6.91e-01 | 7.24e-01
   39000 | 6.91e-01 | 7.24e-01
   40000 | 6.91e-01 | 7.24e-01
   41000 | 6.91e-01 | 7.24e-01
   42000 | 6.91e-01 | 7.24e-01
   43000 | 6.91e-01 | 7.24e-01
   44000 | 6.91e-01 | 7.24e-01
   45000 | 6.91e-01 | 7.23e-01
   46000 | 6.91e-01 | 7.23e-01
   47000 | 6.91e-01 | 7.23e-01
   48000 | 6.91e-01 | 7.23e-01
   49000 | 6.91e-01 | 7.23e-01
   50000 | 6.91e-01 | 7.23e-01
   51000 | 6.91e-01 | 7.23e-01
   52000 | 6.91e-01 | 7.23e-01
   53000 | 6.91e-01 | 7.23e-01
   54000 | 6.91e-01 | 7.23e-01
   55000 | 6.91e-01 | 7.22e-01
   56000 | 6.91e-01 | 7.22e-01
   57000 | 6.91e-01 | 7.22e-01
   58000 | 6.91e-01 | 7.22e-01
   59000 | 6.91e-01 | 7.22e-01
   60000 | 6.91e-01 | 7.22e-01
Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 8.05e-01
    1000 | 6.90e-01 | 6.69e-01
    2000 | 6.89e-01 | 6.34e-01
