Stochastic Gradient, batch size= 93144 / 93144
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 4.10e+00
       1 | 6.83e-01 | 3.59e+00
       2 | 6.76e-01 | 3.15e+00
       3 | 6.70e-01 | 2.77e+00
       4 | 6.66e-01 | 2.44e+00
       5 | 6.63e-01 | 2.15e+00
       6 | 6.60e-01 | 1.90e+00
       7 | 6.59e-01 | 1.68e+00
       8 | 6.57e-01 | 1.48e+00
       9 | 6.56e-01 | 1.31e+00
      10 | 6.55e-01 | 1.16e+00
      11 | 6.54e-01 | 1.03e+00
      12 | 6.54e-01 | 9.09e-01
      13 | 6.54e-01 | 8.06e-01
      14 | 6.53e-01 | 7.15e-01
      15 | 6.53e-01 | 6.35e-01
      16 | 6.53e-01 | 5.64e-01
      17 | 6.53e-01 | 5.01e-01
      18 | 6.53e-01 | 4.46e-01
      19 | 6.52e-01 | 3.97e-01
      20 | 6.52e-01 | 3.54e-01
      21 | 6.52e-01 | 3.15e-01
      22 | 6.52e-01 | 2.81e-01
      23 | 6.52e-01 | 2.51e-01
      24 | 6.52e-01 | 2.24e-01
      25 | 6.52e-01 | 2.00e-01
      26 | 6.52e-01 | 1.79e-01
      27 | 6.52e-01 | 1.60e-01
      28 | 6.52e-01 | 1.43e-01
      29 | 6.52e-01 | 1.28e-01
      30 | 6.52e-01 | 1.15e-01
      31 | 6.52e-01 | 1.03e-01
      32 | 6.52e-01 | 9.23e-02
      33 | 6.52e-01 | 8.28e-02
      34 | 6.52e-01 | 7.44e-02
      35 | 6.52e-01 | 6.68e-02
      36 | 6.52e-01 | 6.01e-02
      37 | 6.52e-01 | 5.40e-02
      38 | 6.52e-01 | 4.86e-02
      39 | 6.52e-01 | 4.37e-02
      40 | 6.52e-01 | 3.94e-02
      41 | 6.52e-01 | 3.55e-02
      42 | 6.52e-01 | 3.20e-02
      43 | 6.52e-01 | 2.89e-02
      44 | 6.52e-01 | 2.60e-02
      45 | 6.52e-01 | 2.35e-02
      46 | 6.52e-01 | 2.12e-02
      47 | 6.52e-01 | 1.92e-02
      48 | 6.52e-01 | 1.73e-02
      49 | 6.52e-01 | 1.56e-02
      50 | 6.52e-01 | 1.41e-02
      51 | 6.52e-01 | 1.28e-02
      52 | 6.52e-01 | 1.16e-02
      53 | 6.52e-01 | 1.05e-02
      54 | 6.52e-01 | 9.48e-03
      55 | 6.52e-01 | 8.59e-03
      56 | 6.52e-01 | 7.78e-03
      57 | 6.52e-01 | 7.04e-03
      58 | 6.52e-01 | 6.38e-03
      59 | 6.52e-01 | 5.79e-03
      60 | 6.52e-01 | 5.24e-03
Stochastic Gradient, batch size= 1 / 93144
  iter   |   fval   |  normit 
       0 | 6.93e-01 | 4.10e+00
  93144 | 7.18e-01 | 5.14e+00
186288 | 7.01e-01 | 2.73e+00
